State,Confirmed,Deaths,Recovered,Active,Confirmed32620,Deaths32620,Recovered32620,Active32620,Confirmed32520,Deaths32520,Recovered32520,Active32520,Confirmed32420,Deaths32420,Recovered32420,Active32420,Confirmed32320,Deaths32320,Recovered32320,Active32320,CENSUS2010POP
Alabama,587.0,4.0,0.0,0.0,517.0,1.0,0.0,0.0,381.0,1.0,0.0,0.0,242,0,0,0,196.0,0.0,0.0,0.0,4779736.0
Alaska,58.0,1.0,0.0,0.0,56.0,1.0,0.0,0.0,41.0,1.0,0.0,0.0,34,0,0,0,30.0,0.0,0.0,0.0,710231.0
Arizona,665.0,13.0,0.0,0.0,508.0,8.0,0.0,0.0,401.0,6.0,0.0,0.0,326,5,0,0,235.0,2.0,0.0,0.0,6392017.0
Arkansas,381.0,3.0,0.0,0.0,335.0,2.0,0.0,0.0,280.0,2.0,0.0,0.0,219,2,0,0,192.0,0.0,0.0,0.0,2915918.0
California,4657.0,94.0,0.0,0.0,3899.0,81.0,0.0,0.0,2998.0,65.0,0.0,0.0,2538,50,0,0,2108.0,39.0,0.0,0.0,37253956.0
Colorado,1433.0,27.0,0.0,0.0,1430.0,19.0,0.0,0.0,1021.0,16.0,0.0,0.0,723,8,0,0,704.0,7.0,0.0,0.0,5029196.0
Connecticut,1291.0,27.0,0.0,0.0,1012.0,21.0,0.0,0.0,875.0,19.0,0.0,0.0,618,12,0,0,415.0,10.0,0.0,0.0,3574097.0
Delaware,163.0,2.0,0.0,0.0,130.0,1.0,0.0,0.0,119.0,0.0,0.0,0.0,104,0,0,0,68.0,0.0,0.0,0.0,897934.0
Florida,2900.0,35.0,0.0,0.0,2357.0,29.0,0.0,0.0,1682.0,23.0,0.0,0.0,1412,18,0,0,1227.0,18.0,0.0,0.0,18801310.0
Georgia,2000.0,64.0,0.0,0.0,1525.0,48.0,0.0,0.0,1247.0,40.0,0.0,0.0,1026,32,0,0,772.0,25.0,0.0,0.0,9687653.0
Hawaii,106.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,90,1,0,0,56.0,0.0,0.0,0.0,1360301.0
Idaho,205.0,3.0,0.0,0.0,146.0,3.0,0.0,0.0,91.0,0.0,0.0,0.0,81,0,0,0,68.0,0.0,0.0,0.0,1567582.0
Illinois,3024.0,34.0,0.0,0.0,2538.0,26.0,0.0,0.0,1865.0,19.0,0.0,0.0,1537,16,0,0,1285.0,12.0,0.0,0.0,12830632.0
Indiana,979.0,25.0,0.0,0.0,645.0,17.0,0.0,0.0,477.0,14.0,0.0,0.0,368,12,0,0,270.0,7.0,0.0,0.0,6483802.0
Iowa,235.0,3.0,0.0,0.0,179.0,1.0,0.0,0.0,146.0,1.0,0.0,0.0,124,0,0,0,105.0,0.0,0.0,0.0,3046355.0
Kansas,206.0,4.0,0.0,0.0,172.0,3.0,0.0,0.0,134.0,3.0,0.0,0.0,100,2,0,0,84.0,2.0,0.0,0.0,2853118.0
Kentucky,301.0,7.0,0.0,0.0,247.0,5.0,0.0,0.0,197.0,5.0,0.0,0.0,162,4,0,0,123.0,4.0,0.0,0.0,4339367.0
Louisiana,2744.0,119.0,0.0,0.0,2304.0,83.0,0.0,0.0,1795.0,65.0,0.0,0.0,1388,46,0,0,1172.0,35.0,0.0,0.0,4533372.0
Maine,168.0,1.0,0.0,0.0,155.0,0.0,0.0,0.0,142.0,0.0,0.0,0.0,118,0,0,0,107.0,0.0,0.0,0.0,1328361.0
Maryland,775.0,5.0,0.0,0.0,583.0,4.0,0.0,0.0,425.0,4.0,0.0,0.0,349,4,0,0,290.0,3.0,0.0,0.0,5773552.0
Massachusetts,3240.0,35.0,0.0,0.0,2417.0,25.0,0.0,0.0,1838.0,15.0,0.0,0.0,1159,11,0,0,777.0,9.0,0.0,0.0,6547629.0
Michigan,3634.0,92.0,0.0,0.0,2845.0,61.0,0.0,0.0,2296.0,43.0,0.0,0.0,1793,24,0,0,1329.0,15.0,0.0,0.0,9883640.0
Minnesota,396.0,4.0,0.0,0.0,344.0,2.0,0.0,0.0,286.0,1.0,0.0,0.0,261,1,0,0,234.0,1.0,0.0,0.0,5303925.0
Mississippi,579.0,8.0,0.0,0.0,485.0,6.0,0.0,0.0,377.0,3.0,0.0,0.0,320,1,0,0,249.0,1.0,0.0,0.0,2967297.0
Missouri,666.0,9.0,0.0,0.0,520.0,9.0,0.0,0.0,354.0,8.0,0.0,0.0,257,7,0,0,187.0,4.0,0.0,0.0,5988927.0
Montana,109.0,1.0,0.0,0.0,90.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,51,0,0,0,34.0,0.0,0.0,0.0,989415.0
Nebraska,82.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,66,0,0,0,51.0,0.0,0.0,0.0,1826341.0
Nevada,536.0,10.0,0.0,0.0,420.0,10.0,0.0,0.0,323.0,6.0,0.0,0.0,278,4,0,0,245.0,4.0,0.0,0.0,2700551.0
New Hampshire,158.0,1.0,0.0,0.0,137.0,1.0,0.0,0.0,108.0,1.0,0.0,0.0,101,1,0,0,101.0,1.0,0.0,0.0,1316470.0
New Jersey,8825.0,108.0,0.0,0.0,6876.0,81.0,0.0,0.0,4402.0,62.0,0.0,0.0,3675,44,0,0,2844.0,27.0,0.0,0.0,8791894.0
New Mexico,136.0,1.0,0.0,0.0,113.0,1.0,0.0,0.0,113.0,1.0,0.0,0.0,100,0,0,0,83.0,0.0,0.0,0.0,2059179.0
New York,44876.0,527.0,0.0,0.0,37877.0,385.0,0.0,0.0,30841.0,285.0,0.0,0.0,25681,210,0,0,20884.0,158.0,0.0,0.0,19378102.0
North Carolina,887.0,4.0,0.0,0.0,738.0,3.0,0.0,0.0,590.0,2.0,0.0,0.0,495,0,0,0,353.0,0.0,0.0,0.0,9535483.0
North Dakota,68.0,1.0,0.0,0.0,51.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,36,0,0,0,30.0,0.0,0.0,0.0,672591.0
Ohio,1137.0,19.0,0.0,0.0,868.0,15.0,0.0,0.0,704.0,11.0,0.0,0.0,567,8,0,0,443.0,6.0,0.0,0.0,11536504.0
Oklahoma,322.0,8.0,0.0,0.0,248.0,7.0,0.0,0.0,164.0,5.0,0.0,0.0,106,3,0,0,81.0,2.0,0.0,0.0,3751351.0
Oregon,416.0,12.0,0.0,0.0,316.0,11.0,0.0,0.0,266.0,10.0,0.0,0.0,210,8,0,0,191.0,5.0,0.0,0.0,3831074.0
Pennsylvania,2345.0,22.0,0.0,0.0,1795.0,18.0,0.0,0.0,1260.0,15.0,0.0,0.0,946,8,0,0,698.0,6.0,0.0,0.0,12702379.0
Rhode Island,203.0,0.0,0.0,0.0,165.0,0.0,0.0,0.0,132.0,0.0,0.0,0.0,124,0,0,0,106.0,0.0,0.0,0.0,1052567.0
South Carolina,542.0,13.0,0.0,0.0,424.0,9.0,0.0,0.0,424.0,7.0,0.0,0.0,342,5,0,0,298.0,5.0,0.0,0.0,4625364.0
South Dakota,58.0,1.0,0.0,0.0,46.0,1.0,0.0,0.0,41.0,1.0,0.0,0.0,30,1,0,0,28.0,1.0,0.0,0.0,814180.0
Tennessee,1318.0,6.0,0.0,0.0,1097.0,3.0,0.0,0.0,916.0,3.0,0.0,0.0,772,2,0,0,614.0,2.0,0.0,0.0,6346105.0
Texas,1937.0,26.0,0.0,0.0,1563.0,21.0,0.0,0.0,1229.0,15.0,0.0,0.0,955,12,0,0,758.0,9.0,0.0,0.0,25145561.0
Utah,472.0,1.0,0.0,0.0,396.0,1.0,0.0,0.0,340.0,1.0,0.0,0.0,298,1,0,0,257.0,1.0,0.0,0.0,2763885.0
Vermont,184.0,10.0,0.0,0.0,158.0,9.0,0.0,0.0,125.0,8.0,0.0,0.0,95,7,0,0,75.0,5.0,0.0,0.0,625741.0
Virginia,607.0,10.0,0.0,0.0,466.0,10.0,0.0,0.0,396.0,9.0,0.0,0.0,293,9,0,0,254.0,6.0,0.0,0.0,7994802.0
Washington,3477.0,157.0,0.0,0.0,3207.0,150.0,0.0,0.0,2591.0,133.0,0.0,0.0,2328,116,0,0,2221.0,109.0,0.0,0.0,6724540.0
West Virginia,76.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,22,0,0,0,16.0,0.0,0.0,0.0,1852994.0
Wisconsin,926.0,14.0,0.0,0.0,728.0,10.0,0.0,0.0,621.0,7.0,0.0,0.0,481,5,0,0,425.0,5.0,0.0,0.0,5686986.0
Wyoming,70.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,29,0,0,0,26.0,0.0,0.0,0.0,563626.0
